defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core.gui.themes.thincolumba,QUALIFIED_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core.gui.themes,QUALIFIED_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core.gui,QUALIFIED_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core,QUALIFIED_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba,QUALIFIED_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org,SIMPLE_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,columba,SIMPLE_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,core,SIMPLE_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,gui,SIMPLE_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,themes,SIMPLE_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,thincolumba,SIMPLE_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,java.awt.Color,QUALIFIED_NAME, line no: 3
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,java.awt,QUALIFIED_NAME, line no: 3
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,java,SIMPLE_NAME, line no: 3
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,awt,SIMPLE_NAME, line no: 3
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,Color,SIMPLE_NAME, line no: 3
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,java.awt.Dimension,QUALIFIED_NAME, line no: 4
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,Dimension,SIMPLE_NAME, line no: 4
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,java.awt.Graphics,QUALIFIED_NAME, line no: 5
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,Graphics,SIMPLE_NAME, line no: 5
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.Icon,QUALIFIED_NAME, line no: 7
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing,QUALIFIED_NAME, line no: 7
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax,SIMPLE_NAME, line no: 7
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,swing,SIMPLE_NAME, line no: 7
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,Icon,SIMPLE_NAME, line no: 7
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.JComponent,QUALIFIED_NAME, line no: 8
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,JComponent,SIMPLE_NAME, line no: 8
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.JMenuItem,QUALIFIED_NAME, line no: 9
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,JMenuItem,SIMPLE_NAME, line no: 9
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.plaf.ComponentUI,QUALIFIED_NAME, line no: 10
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.plaf,QUALIFIED_NAME, line no: 10
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,plaf,SIMPLE_NAME, line no: 10
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,ComponentUI,SIMPLE_NAME, line no: 10
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.plaf.basic.BasicMenuItemUI,QUALIFIED_NAME, line no: 11
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,javax.swing.plaf.basic,QUALIFIED_NAME, line no: 11
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,basic,SIMPLE_NAME, line no: 11
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,BasicMenuItemUI,SIMPLE_NAME, line no: 11
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core.gui.util.EmptyIcon,QUALIFIED_NAME, line no: 13
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core.gui.util,QUALIFIED_NAME, line no: 13
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,util,SIMPLE_NAME, line no: 13
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,EmptyIcon,SIMPLE_NAME, line no: 13
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,ThinMenuItemUI,SIMPLE_NAME, line no: 23
