FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.index,QUALIFIED_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene,QUALIFIED_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache,QUALIFIED_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,org,SIMPLE_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,apache,SIMPLE_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,lucene,SIMPLE_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,index,SIMPLE_NAME, line no: 1
FieldsEnum,SIMPLE_NAME, line no: 616,java.io.File,QUALIFIED_NAME, line no: 20
FieldsEnum,SIMPLE_NAME, line no: 616,java.io,QUALIFIED_NAME, line no: 20
FieldsEnum,SIMPLE_NAME, line no: 616,java,SIMPLE_NAME, line no: 20
FieldsEnum,SIMPLE_NAME, line no: 616,io,SIMPLE_NAME, line no: 20
FieldsEnum,SIMPLE_NAME, line no: 616,File,SIMPLE_NAME, line no: 20
FieldsEnum,SIMPLE_NAME, line no: 616,java.io.FileNotFoundException,QUALIFIED_NAME, line no: 21
FieldsEnum,SIMPLE_NAME, line no: 616,FileNotFoundException,SIMPLE_NAME, line no: 21
FieldsEnum,SIMPLE_NAME, line no: 616,java.io.IOException,QUALIFIED_NAME, line no: 22
FieldsEnum,SIMPLE_NAME, line no: 616,IOException,SIMPLE_NAME, line no: 22
FieldsEnum,SIMPLE_NAME, line no: 616,java.util.Collection,QUALIFIED_NAME, line no: 23
FieldsEnum,SIMPLE_NAME, line no: 616,java.util,QUALIFIED_NAME, line no: 23
FieldsEnum,SIMPLE_NAME, line no: 616,util,SIMPLE_NAME, line no: 23
FieldsEnum,SIMPLE_NAME, line no: 616,Collection,SIMPLE_NAME, line no: 23
FieldsEnum,SIMPLE_NAME, line no: 616,java.util.HashSet,QUALIFIED_NAME, line no: 24
FieldsEnum,SIMPLE_NAME, line no: 616,HashSet,SIMPLE_NAME, line no: 24
FieldsEnum,SIMPLE_NAME, line no: 616,java.util.Iterator,QUALIFIED_NAME, line no: 25
FieldsEnum,SIMPLE_NAME, line no: 616,Iterator,SIMPLE_NAME, line no: 25
FieldsEnum,SIMPLE_NAME, line no: 616,java.util.List,QUALIFIED_NAME, line no: 26
FieldsEnum,SIMPLE_NAME, line no: 616,List,SIMPLE_NAME, line no: 26
FieldsEnum,SIMPLE_NAME, line no: 616,java.util.Random,QUALIFIED_NAME, line no: 27
FieldsEnum,SIMPLE_NAME, line no: 616,Random,SIMPLE_NAME, line no: 27
FieldsEnum,SIMPLE_NAME, line no: 616,java.util.Set,QUALIFIED_NAME, line no: 28
FieldsEnum,SIMPLE_NAME, line no: 616,Set,SIMPLE_NAME, line no: 28
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.analysis.MockAnalyzer,QUALIFIED_NAME, line no: 30
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.analysis,QUALIFIED_NAME, line no: 30
FieldsEnum,SIMPLE_NAME, line no: 616,analysis,SIMPLE_NAME, line no: 30
FieldsEnum,SIMPLE_NAME, line no: 616,MockAnalyzer,SIMPLE_NAME, line no: 30
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.codecs.lucene40.Lucene40PostingsFormat,QUALIFIED_NAME, line no: 31
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.codecs.lucene40,QUALIFIED_NAME, line no: 31
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.codecs,QUALIFIED_NAME, line no: 31
FieldsEnum,SIMPLE_NAME, line no: 616,codecs,SIMPLE_NAME, line no: 31
FieldsEnum,SIMPLE_NAME, line no: 616,lucene40,SIMPLE_NAME, line no: 31
FieldsEnum,SIMPLE_NAME, line no: 616,Lucene40PostingsFormat,SIMPLE_NAME, line no: 31
FieldsEnum,SIMPLE_NAME, line no: 616,org.apache.lucene.document.Document,QUALIFIED_NAME, line no: 32
