Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,equals,SIMPLE_NAME, line no: 182, 1.0, 0.21705426356589147, 1.0
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.0, 1.0, 1.0
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.0, 1.0, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007692307692307693, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007692307692307693, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007692307692307693, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007692307692307693, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007692307692307693, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0,SIMPLE_NAME, line no: 438, 1.0, 0.9769230769230769, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y1,SIMPLE_NAME, line no: 439, 1.0, 0.9769230769230769, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,abs,SIMPLE_NAME, line no: 443, 1.0, 1.0, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.0, 1.0, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007633587786259542, 1.0
abs,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007633587786259542, 1.0
abs,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007633587786259542, 1.0
abs,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007633587786259542, 1.0
abs,SIMPLE_NAME, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007633587786259542, 1.0
abs,SIMPLE_NAME, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,y0,SIMPLE_NAME, line no: 438, 1.0, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,y1,SIMPLE_NAME, line no: 439, 1.0, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 1.0, 1.0, 1.0
abs,SIMPLE_NAME, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 1.0, 1.0, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007633587786259542, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007633587786259542, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007633587786259542, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007633587786259542, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007633587786259542, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,y0,SIMPLE_NAME, line no: 438, 1.0, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,y1,SIMPLE_NAME, line no: 439, 1.0, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007575757575757576, 1.0
y0,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007575757575757576, 1.0
y0,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007575757575757576, 1.0
y0,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007575757575757576, 1.0
y0,SIMPLE_NAME, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007575757575757576, 1.0
y0,SIMPLE_NAME, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,y1,SIMPLE_NAME, line no: 439, 1.0, 0.9696969696969697, 1.0
y0,SIMPLE_NAME, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007575757575757576, 1.0
y1,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007575757575757576, 1.0
y1,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007575757575757576, 1.0
y1,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007575757575757576, 1.0
y1,SIMPLE_NAME, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007575757575757576, 1.0
y1,SIMPLE_NAME, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,y0,SIMPLE_NAME, line no: 438, 1.0, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 1.0, 1.0, 1.0
y1,SIMPLE_NAME, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 1.0, 1.0, 1.0
0.00001,NUMBER_LITERAL, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007692307692307693, 1.0
0.00001,NUMBER_LITERAL, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007692307692307693, 1.0
0.00001,NUMBER_LITERAL, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007692307692307693, 1.0
0.00001,NUMBER_LITERAL, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007692307692307693, 1.0
0.00001,NUMBER_LITERAL, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007692307692307693, 1.0
0.00001,NUMBER_LITERAL, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0
y0,SIMPLE_NAME, line no: 443,abs,SIMPLE_NAME, line no: 443, 0.9924242424242424, 0.9924242424242424, 1.0
y0,SIMPLE_NAME, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 0.9924242424242424, 0.9924242424242424, 1.0
y1,SIMPLE_NAME, line no: 443,abs,SIMPLE_NAME, line no: 443, 0.9924242424242424, 0.9924242424242424, 1.0
y1,SIMPLE_NAME, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 0.9924242424242424, 0.9924242424242424, 1.0
abs,SIMPLE_NAME, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 0.9923664122137404, 0.9923664122137404, 1.0
