new LiteralValueSource(fp.getString()),CLASS_INSTANCE_CREATION, line no: 107,LiteralValueSource,SIMPLE_NAME, line no: 107, 1.0, 1.0, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,String,SIMPLE_NAME, line no: 69, 1.0, 0.1111111111111111, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,name,SIMPLE_NAME, line no: 74, 1.0, 0.1111111111111111, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,getString,SIMPLE_NAME, line no: 107, 1.0, 1.0, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,f0,SIMPLE_NAME, line no: 256, 1.0, 0.7777777777777778, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,parseArg,SIMPLE_NAME, line no: 256, 1.0, 0.7777777777777778, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,qf,SIMPLE_NAME, line no: 257, 1.0, 0.7777777777777778, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,first,SIMPLE_NAME, line no: 858, 1.0, 1.0, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,second,SIMPLE_NAME, line no: 859, 1.0, 1.0, 1.0
fp,SIMPLE_NAME, line no: 107,FunctionQParser,SIMPLE_NAME, line no: 66, 1.0, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,String,SIMPLE_NAME, line no: 69, 1.0, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,name,SIMPLE_NAME, line no: 74, 1.0, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,"testfunc",STRING_LITERAL, line no: 90, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"ord",STRING_LITERAL, line no: 97, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"literal",STRING_LITERAL, line no: 104, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"rord",STRING_LITERAL, line no: 110, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"top",STRING_LITERAL, line no: 117, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"linear",STRING_LITERAL, line no: 125, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"recip",STRING_LITERAL, line no: 134, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"scale",STRING_LITERAL, line no: 144, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"div",STRING_LITERAL, line no: 153, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"map",STRING_LITERAL, line no: 161, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"abs",STRING_LITERAL, line no: 173, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sum",STRING_LITERAL, line no: 190, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"add",STRING_LITERAL, line no: 197, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"product",STRING_LITERAL, line no: 199, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"mul",STRING_LITERAL, line no: 206, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sub",STRING_LITERAL, line no: 208, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"vector",STRING_LITERAL, line no: 226, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"query",STRING_LITERAL, line no: 232, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"boost",STRING_LITERAL, line no: 244, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"joindf",STRING_LITERAL, line no: 253, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,f0,SIMPLE_NAME, line no: 256, 1.0, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,fp.parseArg(),METHOD_INVOCATION, line no: 256, 1.0, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,parseArg,SIMPLE_NAME, line no: 256, 1.0, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,qf,SIMPLE_NAME, line no: 257, 1.0, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,"geodist",STRING_LITERAL, line no: 262, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"hsin",STRING_LITERAL, line no: 264, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"ghhsin",STRING_LITERAL, line no: 305, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"geohash",STRING_LITERAL, line no: 317, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"strdist",STRING_LITERAL, line no: 327, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"field",STRING_LITERAL, line no: 352, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"rad",STRING_LITERAL, line no: 362, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"deg",STRING_LITERAL, line no: 368, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sqrt",STRING_LITERAL, line no: 374, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"cbrt",STRING_LITERAL, line no: 380, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"log",STRING_LITERAL, line no: 386, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"ln",STRING_LITERAL, line no: 392, 1.0, 1.0, 1.0
