Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,equals,SIMPLE_NAME, line no: 182, 2.0, 0.21705426356589147, 1.0, 0.07407407407407407
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 2.0, 1.0, 1.0, 0.6296296296296297
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 2.0, 1.0, 1.0, 0.25925925925925924
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 2.0, 0.007692307692307693, 1.0, 0.17647058823529413
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 2.0, 0.007692307692307693, 1.0, 0.17647058823529413
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finArea,SIMPLE_NAME, line no: 124, 2.0, 0.007692307692307693, 1.0, 0.058823529411764705
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 2.0, 0.007692307692307693, 1.0, 0.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 2.0, 0.007692307692307693, 1.0, 0.058823529411764705
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0,SIMPLE_NAME, line no: 438, 2.0, 0.9769230769230769, 1.0, 0.11764705882352941
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y1,SIMPLE_NAME, line no: 439, 2.0, 0.9769230769230769, 1.0, 0.11764705882352941
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,abs,SIMPLE_NAME, line no: 443, 2.0, 1.0, 1.0, 0.17647058823529413
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 2.0, 1.0, 1.0, 0.4117647058823529
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 2.0, 1.0, 1.0, 0.17647058823529413
abs,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 2.0, 0.007633587786259542, 1.0, 0.2222222222222222
abs,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 2.0, 0.007633587786259542, 1.0, 0.2222222222222222
abs,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 2.0, 0.007633587786259542, 1.0, 0.14285714285714285
abs,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 2.0, 0.007633587786259542, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 2.0, 0.007633587786259542, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 2.0, 1.0, 1.0, 0.1111111111111111
abs,SIMPLE_NAME, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 2.0, 1.0, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 2.0, 1.0, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,y0,SIMPLE_NAME, line no: 438, 2.0, 0.9770992366412213, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,y1,SIMPLE_NAME, line no: 439, 2.0, 0.9770992366412213, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 2.0, 1.0, 1.0, 0.2857142857142857
abs,SIMPLE_NAME, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 2.0, 1.0, 1.0, 0.09523809523809523
abs,SIMPLE_NAME, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.10526315789473684
abs,SIMPLE_NAME, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.11764705882352941
y0 - y1,INFIX_EXPRESSION, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 2.0, 0.007633587786259542, 1.0, 0.0
y0 - y1,INFIX_EXPRESSION, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 2.0, 0.007633587786259542, 1.0, 0.0
y0 - y1,INFIX_EXPRESSION, line no: 443,finArea,SIMPLE_NAME, line no: 124, 2.0, 0.007633587786259542, 1.0, 0.0
y0 - y1,INFIX_EXPRESSION, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 2.0, 0.007633587786259542, 1.0, 0.0
y0 - y1,INFIX_EXPRESSION, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 2.0, 0.007633587786259542, 1.0, 0.14285714285714285
y0 - y1,INFIX_EXPRESSION, line no: 443,y0,SIMPLE_NAME, line no: 438, 2.0, 0.9694656488549618, 1.0, 0.2857142857142857
y0 - y1,INFIX_EXPRESSION, line no: 443,y1,SIMPLE_NAME, line no: 439, 2.0, 0.9694656488549618, 1.0, 0.2857142857142857
y0 - y1,INFIX_EXPRESSION, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 2.0, 1.0, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 2.0, 0.007575757575757576, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 2.0, 0.007575757575757576, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 2.0, 0.007575757575757576, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 2.0, 0.007575757575757576, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 2.0, 0.007575757575757576, 1.0, 0.16666666666666666
y0,SIMPLE_NAME, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 2.0, 1.0, 1.0, 0.1111111111111111
y0,SIMPLE_NAME, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 2.0, 1.0, 1.0, 0.125
y0,SIMPLE_NAME, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 2.0, 1.0, 1.0, 0.25
y0,SIMPLE_NAME, line no: 443,y1,SIMPLE_NAME, line no: 439, 2.0, 0.9696969696969697, 1.0, 0.5
y0,SIMPLE_NAME, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 2.0, 1.0, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 2.0, 1.0, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 2.0, 0.007575757575757576, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 2.0, 0.007575757575757576, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 2.0, 0.007575757575757576, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 2.0, 0.007575757575757576, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 2.0, 0.007575757575757576, 1.0, 0.16666666666666666
y1,SIMPLE_NAME, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 2.0, 1.0, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 2.0, 1.0, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 2.0, 1.0, 1.0, 0.125
y1,SIMPLE_NAME, line no: 443,y0,SIMPLE_NAME, line no: 438, 2.0, 0.9696969696969697, 1.0, 0.5
y1,SIMPLE_NAME, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 2.0, 1.0, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 2.0, 1.0, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 2.0, 0.007692307692307693, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 2.0, 0.007692307692307693, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,finArea,SIMPLE_NAME, line no: 124, 2.0, 0.007692307692307693, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 2.0, 0.007692307692307693, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 2.0, 0.007692307692307693, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,finArea=0,ASSIGNMENT, line no: 431, 2.0, 1.0, 1.0, 0.1111111111111111
0.00001,NUMBER_LITERAL, line no: 443,finCGx=0,ASSIGNMENT, line no: 432, 2.0, 1.0, 1.0, 0.125
0.00001,NUMBER_LITERAL, line no: 443,finCGy=0,ASSIGNMENT, line no: 433, 2.0, 1.0, 1.0, 0.125
0.00001,NUMBER_LITERAL, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 2.0, 1.0, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,tabLength * tabHeight,INFIX_EXPRESSION, line no: 456, 2.0, 1.0, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,(finArea + tabArea),PARENTHESIZED_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,finArea + tabArea,INFIX_EXPRESSION, line no: 467, 2.0, 1.0, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,abs,SIMPLE_NAME, line no: 443, 1.9924242424242424, 0.9924242424242424, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.9924242424242424, 0.9924242424242424, 1.0, 0.2857142857142857
y1,SIMPLE_NAME, line no: 443,abs,SIMPLE_NAME, line no: 443, 1.9924242424242424, 0.9924242424242424, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.9924242424242424, 0.9924242424242424, 1.0, 0.2857142857142857
abs,SIMPLE_NAME, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.9923664122137406, 0.9923664122137404, 1.0, 0.17647058823529413
abs,SIMPLE_NAME, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.9923664122137406, 0.9923664122137404, 1.0, 0.0
y0 - y1,INFIX_EXPRESSION, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.9923664122137406, 0.9923664122137404, 1.0, 0.4117647058823529
y0 - y1,INFIX_EXPRESSION, line no: 443,abs,SIMPLE_NAME, line no: 443, 1.9923664122137406, 0.9923664122137404, 1.0, 0.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443, 1.9923076923076923, 0.9923076923076923, 1.0, 0.6296296296296297
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,0.00001,NUMBER_LITERAL, line no: 443, 1.9923076923076923, 0.9923076923076923, 1.0, 0.17647058823529413
0.00001,NUMBER_LITERAL, line no: 443,y0,SIMPLE_NAME, line no: 438, 1.9923076923076923, 0.9769230769230769, 1.0, 0.14285714285714285
0.00001,NUMBER_LITERAL, line no: 443,y1,SIMPLE_NAME, line no: 439, 1.9923076923076923, 0.9769230769230769, 1.0, 0.14285714285714285
0.00001,NUMBER_LITERAL, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.9923076923076923, 0.9923076923076923, 1.0, 0.17647058823529413
0.00001,NUMBER_LITERAL, line no: 443,abs,SIMPLE_NAME, line no: 443, 1.9923076923076923, 0.9923076923076923, 1.0, 0.0
0.00001,NUMBER_LITERAL, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.9923076923076923, 0.9923076923076923, 1.0, 0.2857142857142857
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 1.9922480620155039, 0.9922480620155039, 1.0, 0.2962962962962963
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 1.9922480620155039, 0.9922480620155039, 1.0, 0.2222222222222222
y0,SIMPLE_NAME, line no: 443,x0,SIMPLE_NAME, line no: 436, 1.9848484848484849, 0.9696969696969697, 1.0, 0.5
y0,SIMPLE_NAME, line no: 443,x1,SIMPLE_NAME, line no: 437, 1.9848484848484849, 0.9696969696969697, 1.0, 0.0
y0,SIMPLE_NAME, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.9848484848484849, 0.9848484848484849, 1.0, 0.11764705882352941
y1,SIMPLE_NAME, line no: 443,x0,SIMPLE_NAME, line no: 436, 1.9848484848484849, 0.9696969696969697, 1.0, 0.0
y1,SIMPLE_NAME, line no: 443,x1,SIMPLE_NAME, line no: 437, 1.9848484848484849, 0.9696969696969697, 1.0, 0.5
y1,SIMPLE_NAME, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.9848484848484849, 0.9848484848484849, 1.0, 0.11764705882352941
abs,SIMPLE_NAME, line no: 443,x0,SIMPLE_NAME, line no: 436, 1.984732824427481, 0.9770992366412213, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,x1,SIMPLE_NAME, line no: 437, 1.984732824427481, 0.9770992366412213, 1.0, 0.0
abs,SIMPLE_NAME, line no: 443,0.00001,NUMBER_LITERAL, line no: 443, 1.984732824427481, 0.9847328244274809, 1.0, 0.0
y0 - y1,INFIX_EXPRESSION, line no: 443,x0,SIMPLE_NAME, line no: 436, 1.984732824427481, 0.9694656488549618, 1.0, 0.14285714285714285
