Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,equals,SIMPLE_NAME, line no: 182, 1.0, 0.21705426356589147, 1.0, 0.5222222222222223
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 1.0, 1.0, 1.0, 0.7666666666666667
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.0, 1.0, 1.0, 0.7777777777777778
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007692307692307693, 1.0, 0.6049382716049383
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007692307692307693, 1.0, 0.6049382716049383
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007692307692307693, 1.0, 0.6049382716049383
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007692307692307693, 1.0, 0.5679012345679012
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,finCGy,SIMPLE_NAME, line no: 126, 1.0, 0.007692307692307693, 1.0, 0.5802469135802469
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0,SIMPLE_NAME, line no: 438, 1.0, 0.9769230769230769, 1.0, 0.6419753086419753
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y1,SIMPLE_NAME, line no: 439, 1.0, 0.9769230769230769, 1.0, 0.6419753086419753
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,abs,SIMPLE_NAME, line no: 443, 1.0, 1.0, 1.0, 0.6790123456790124
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 1.0, 1.0, 1.0, 0.7283950617283951
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,tabArea,SIMPLE_NAME, line no: 456, 1.0, 1.0, 1.0, 0.6296296296296297
abs,SIMPLE_NAME, line no: 443,tabHeight,SIMPLE_NAME, line no: 116, 1.0, 0.007633587786259542, 1.0, 0.8059701492537313
abs,SIMPLE_NAME, line no: 443,tabLength,SIMPLE_NAME, line no: 117, 1.0, 0.007633587786259542, 1.0, 0.8059701492537313
abs,SIMPLE_NAME, line no: 443,finArea,SIMPLE_NAME, line no: 124, 1.0, 0.007633587786259542, 1.0, 0.8461538461538461
abs,SIMPLE_NAME, line no: 443,finCGx,SIMPLE_NAME, line no: 125, 1.0, 0.007633587786259542, 1.0, 0.8125
