region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,isFinished,SIMPLE_NAME, line no: 267, 2.0, 0.22929936305732485, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 295, 2.0, 0.22929936305732485, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 2.0, 0.2484076433121019, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,equals,SIMPLE_NAME, line no: 876, 2.0, 1.0, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 2.0, 1.0, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 2.0, 1.0, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,hasInsertionToTheRight,SIMPLE_NAME, line no: 923, 2.0, 1.0, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 2.0, 0.0759493670886076, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,getStartLocation,SIMPLE_NAME, line no: 136, 2.0, 0.006329113924050633, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 2.0, 0.43670886075949367, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,getStop,SIMPLE_NAME, line no: 270, 2.0, 0.2468354430379747, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,size,SIMPLE_NAME, line no: 431, 2.0, 0.6582278481012658, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,getStart,SIMPLE_NAME, line no: 876, 2.0, 1.0, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 2.0, 1.0, 1.0
region,SIMPLE_NAME, line no: 881,GenomeLoc,SIMPLE_NAME, line no: 59, 2.0, 0.012578616352201259, 1.0
getStop,SIMPLE_NAME, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 2.0, 0.07547169811320754, 1.0
getStop,SIMPLE_NAME, line no: 881,getStartLocation,SIMPLE_NAME, line no: 136, 2.0, 0.006289308176100629, 1.0
getStop,SIMPLE_NAME, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 2.0, 0.4339622641509434, 1.0
getStop,SIMPLE_NAME, line no: 881,getStartLocation(windowHeader),METHOD_INVOCATION, line no: 229, 2.0, 0.4339622641509434, 1.0
getStop,SIMPLE_NAME, line no: 881,size,SIMPLE_NAME, line no: 431, 2.0, 0.6540880503144654, 1.0
getStop,SIMPLE_NAME, line no: 881,region.getStart(),METHOD_INVOCATION, line no: 876, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,getStart,SIMPLE_NAME, line no: 876, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,region.getStop(),METHOD_INVOCATION, line no: 876, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,windowHeaderStart + windowHeader.size(),INFIX_EXPRESSION, line no: 876, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,windowHeader.size(),METHOD_INVOCATION, line no: 876, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,lastCleanedElement.getLocation(),METHOD_INVOCATION, line no: 924, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,lastCleanedElement.numInsertionsToTheRight(),METHOD_INVOCATION, line no: 924, 2.0, 1.0, 1.0
getStop,SIMPLE_NAME, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 2.0, 1.0, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 2.0, 0.0759493670886076, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,getStartLocation,SIMPLE_NAME, line no: 136, 2.0, 0.006329113924050633, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 2.0, 0.43670886075949367, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,getStop,SIMPLE_NAME, line no: 270, 2.0, 0.2468354430379747, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 295, 2.0, 0.22784810126582278, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,length,SIMPLE_NAME, line no: 329, 2.0, 0.5189873417721519, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,stop,SIMPLE_NAME, line no: 363, 2.0, 0.006329113924050633, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 2.0, 0.2468354430379747, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,size,SIMPLE_NAME, line no: 431, 2.0, 0.6518987341772152, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 2.0, 0.12658227848101267, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,getStart,SIMPLE_NAME, line no: 876, 2.0, 1.0, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 2.0, 1.0, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 2.0, 1.0, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 2.0, 0.07547169811320754, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,getStartLocation,SIMPLE_NAME, line no: 136, 2.0, 0.006289308176100629, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 2.0, 0.4339622641509434, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,getStop,SIMPLE_NAME, line no: 270, 2.0, 0.24528301886792453, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 295, 2.0, 0.22641509433962265, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,size,SIMPLE_NAME, line no: 431, 2.0, 0.6540880503144654, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,getStart,SIMPLE_NAME, line no: 876, 2.0, 1.0, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 2.0, 0.075, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 2.0, 0.43125, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,getStartLocation(windowHeader),METHOD_INVOCATION, line no: 229, 2.0, 0.43125, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,getStop,SIMPLE_NAME, line no: 270, 2.0, 0.24375, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,size,SIMPLE_NAME, line no: 431, 2.0, 0.65, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,region.getStart(),METHOD_INVOCATION, line no: 876, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,getStart,SIMPLE_NAME, line no: 876, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,region.getStop(),METHOD_INVOCATION, line no: 876, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,windowHeaderStart + windowHeader.size(),INFIX_EXPRESSION, line no: 876, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,windowHeader.size(),METHOD_INVOCATION, line no: 876, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,lastCleanedElement.getLocation(),METHOD_INVOCATION, line no: 924, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,lastCleanedElement.numInsertionsToTheRight(),METHOD_INVOCATION, line no: 924, 2.0, 1.0, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 2.0, 1.0, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 295, 2.0, 0.22641509433962265, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,length,SIMPLE_NAME, line no: 329, 2.0, 0.5220125786163522, 1.0
markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 881,getVariantSiteBitSet,SIMPLE_NAME, line no: 295, 2.0, 0.23125, 1.0
getVariantSiteBitSet,SIMPLE_NAME, line no: 881,markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 295, 1.9937888198757765, 0.2236024844720497, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,length,SIMPLE_NAME, line no: 329, 1.99375, 0.5125, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,stop,SIMPLE_NAME, line no: 363, 1.99375, 0.00625, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 1.99375, 0.125, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 1.99375, 0.99375, 1.0
markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 1.99375, 0.25, 1.0
markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 1.99375, 0.075, 1.0
length,SIMPLE_NAME, line no: 881,getStartLocation,SIMPLE_NAME, line no: 136, 1.99375, 0.00625, 1.0
length,SIMPLE_NAME, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 1.99375, 0.43125, 1.0
length,SIMPLE_NAME, line no: 881,getStartLocation(windowHeader),METHOD_INVOCATION, line no: 229, 1.99375, 0.43125, 1.0
length,SIMPLE_NAME, line no: 881,getStop,SIMPLE_NAME, line no: 270, 1.99375, 0.24375, 1.0
length,SIMPLE_NAME, line no: 881,stop,SIMPLE_NAME, line no: 363, 1.99375, 0.00625, 1.0
length,SIMPLE_NAME, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 1.99375, 0.25, 1.0
length,SIMPLE_NAME, line no: 881,size,SIMPLE_NAME, line no: 431, 1.99375, 0.64375, 1.0
length,SIMPLE_NAME, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 1.99375, 0.125, 1.0
length,SIMPLE_NAME, line no: 881,region.getStart(),METHOD_INVOCATION, line no: 876, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,getStart,SIMPLE_NAME, line no: 876, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,region.getStop(),METHOD_INVOCATION, line no: 876, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,windowHeaderStart + windowHeader.size(),INFIX_EXPRESSION, line no: 876, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,windowHeader.size(),METHOD_INVOCATION, line no: 876, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,lastCleanedElement.getLocation(),METHOD_INVOCATION, line no: 924, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,lastCleanedElement.numInsertionsToTheRight(),METHOD_INVOCATION, line no: 924, 1.99375, 0.99375, 1.0
length,SIMPLE_NAME, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 1.99375, 0.99375, 1.0
getStop,SIMPLE_NAME, line no: 881,length,SIMPLE_NAME, line no: 329, 1.9937106918238994, 0.5157232704402516, 1.0
getStop,SIMPLE_NAME, line no: 881,stop,SIMPLE_NAME, line no: 363, 1.9937106918238994, 0.006289308176100629, 1.0
getStop,SIMPLE_NAME, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 1.9937106918238994, 0.12578616352201258, 1.0
getStop,SIMPLE_NAME, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 1.9937106918238994, 0.9937106918238994, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,length,SIMPLE_NAME, line no: 329, 1.9937106918238994, 0.5157232704402516, 1.0
